Страна;Отправка в;Отправка из;Валюта перевода;Дополнительные условия\исключения
Армения;Да;Да;USD / EUR / RUB / AMD;"1) Временно приостановлена отправка/выдача переводов  в USD  ЗАО ""Банк ВТБ (Армения)""2) “Америа банк”  временно осуществляет выдачу переводов в иностранной валюте клиентам ,у которых открыт счет у партнера .   Для получения переводов в иностранной валюте, клиентам предлагают открыть счет.3) При выдаче  переводов в иностранной валюте в Банках Армении партнёры могут взимать дополнительную комиссию либо предложить конвертировать ваш перевод в национальную валюту (данная комиссия не является частью системы денежных переводов ЮНИСТРИМ)"
Абхазия;Да;Да;USD / EUR / RUB /;
Беларусь;Да;Да;RUB;1.Приостановлены переводы в беларусских рублях. Ранее отправленные переводы необходимо аннулировать 2.Выдача переводов только в российских рублях.
Великобритания;Да;Да;GBP;1. Выдача через зачисление на счет. Не отправляют переводы в Россию
Вьетнам;Да;Нет;USD;партнер: SOUTHEAST ASIA COMMERCIAL JOINT STOCK BANK (SeABank) -USD
Греция;Да;Да;EUR;
Грузия;Да;Да;USD / EUR / RUB*/GEL;"1.*Рико Кредит - возобновлены переводы в рублях.2. Карту Банк – возобновление переводов. Выдача/отправка - USD/EUR.3. Возобновлены переводы в Грузию с выплатой в Лари (Либерти банк, Кредо банк, Ти-Би-Си банк).                                                                   4. ""Ти-Би-Си Банк"" -  выдача переводов отправленных из РФ ,производится только с конвертацией в нац. валюту GEL (Грузинский лари), зачисление на карту банка в любой валюте.  5. ""Банк Грузии"" и ""РИКО ЭКСПРЕСС"" выдают переводы только с конвертацией в нац.валюту. Лимит на выдачу переводов из РФ в Грузии:1) в USD/EUR: 1 транзакция не более 2 000 USD/EUR,В GEL: 1 транзакция - не более эквивалента 2 000 USD/EUR.2) В ""Либерти Банке"" лимит на выдачу переводов  USD/EUR: 1 транзакция не более 2 000 USD/EUR.Увеличен лимит выдачи переводов в GEL:  1 транзакция - не более 15 000 GEL.3) В ""Кредо Банке"" лимит на выдачу переводов  USD/EUR:в сутки составляет 3000 USD, при этом сумма 1 перевода из РФ не может превышать 2000 USD (и эквивалент в GEL).4) В отделениях банка ""Ти-Би-Си Банк"" выдача переводов производится только с конвертацией в нац. валюте GEL (Грузинский лари), зачисление на карту банка в любой валюте."
Германия;Нет;Да;EUR;Партнер BESTPAY работает только на отправку
Израиль;Да;Да;USD / EUR;При отправке переводов в Израиль в валюте EUR или USD, выплата переводов партнером  STB UNION может осуществляться в национальной валюте  - шекелях.
Италия;Да;Да;EUR;Выдача переводов временно приоставновлена Valutrans SPA . При выдаче переводов в Италии, клиенты  должны озвучивать, что перевод отправлен по системе  Valutrans SPA.В случае запроса выдачи по системе Юнистрим, клиенту будет отказано в выдаче.                                                                                                                                    
Казахстан;Да;Да;USD*/ RUB / KZT;"Возобновлении выплаты переводов у партнера АО ""Нурбанк, валюта выдачи RUB/KZT * Возобновлена отправка/выдача переводов в валюте USD у партнера АО ""Казпочта"". Приостановлена отправка переводов в Казахстан в валюте   EUR.               Действуют общие лимиты :5000  USD -1 календарный день.10 000 USD -зо календарных дней ."
Кипр;Да;Да;EUR;
Китай (Union pay);Нет;Нет;USD;Временно приостановлены платежи China Union Pay, Китай .Действующие лимиты:3 000 USD на транзакцию 10 000 USD - в месяц50 000 USD - в год                                                            
